volMax pesoMax custo
378 272 15057
398 378 15048
366 375 15556
368 308 16575
336 345 14342
366 375 15556
292 289 14548
281 287 14581
370 366 13618
394 351 15473
335 265 15168
360 331 15444
385 254 14819
335 381 15531
397 321 13931
370 366 13618
378 272 15057
325 316 13378
281 287 14581
285 258 13044
343 277 15226
296 271 13742
287 304 15787
265 274 14952
394 351 15473
385 254 14819
378 272 15057
397 321 13931
343 277 15226
366 375 15556
278 386 16833
256 289 14860
343 277 15226
287 304 15787
360 331 15444
385 254 14819
385 254 14819
360 331 15444
365 259 16982
292 289 14548
288 346 13476
360 331 15444
368 308 16575
365 301 13406
