volume peso recompensa duração(s)
10 10 553 631
16 26 1590 728
16 28 1821 660
20 20 418 893
3 16 753 124
16 28 935 528
26 7 618 442
19 16 1012 845
29 20 1991 704
22 16 1175 863
25 6 653 107
20 20 418 893
26 19 1397 1043
13 3 466 937
3 16 1796 762
28 9 1185 918
19 3 522 1009
19 3 1814 369
3 13 633 583
13 3 621 723
3 13 472 300
22 19 470 470
7 20 1880 705
3 13 1313 1080
9 19 775 997
16 3 836 819
28 19 828 888
25 22 580 176
16 6 755 874
16 10 396 514
23 7 983 372
13 29 1255 923
16 13 671 726
13 6 1062 195
29 16 1051 169
3 19 600 422
22 9 1509 598
13 25 1026 365
13 10 1614 331
16 29 533 935
26 22 1165 1100
7 7 1524 189
25 13 1251 384
20 20 418 893
3 22 940 937
3 16 1796 762
16 13 654 720
9 25 849 1008
13 3 699 1056
6 16 647 872
16 13 654 720
23 16 868 608
13 20 1951 729
3 3 355 869
22 28 347 1058
29 20 1160 237
9 19 1281 241
13 25 1026 365
20 7 386 964
22 19 287 752
6 6 779 122
19 13 1904 276
7 16 764 617
28 25 952 377
19 13 1688 640
16 26 1789 1077
13 10 483 694
22 25 224 467
23 23 1382 991
13 3 621 723
6 10 465 900
9 19 775 997
6 22 597 540
22 25 224 467
25 28 724 816
26 7 738 375
19 22 1897 986
22 19 602 291
28 22 330 563
29 29 969 833
16 19 234 1001
29 29 969 833
26 26 1170 838
25 22 1331 509
26 26 716 445
6 6 779 122
26 10 574 593
26 22 1065 616
6 10 713 921
26 22 1165 1100
16 10 396 514
19 16 1489 751
26 26 1170 838
26 22 1165 1100
29 29 969 833
20 23 1325 338
6 19 1243 977
22 22 626 1048
19 9 1897 881
6 26 1143 180
22 28 347 1058
16 3 477 194
23 16 1936 498
16 10 1508 454
7 10 801 919
